Year,Week,HomeTeam,AwayTeam,HomeScore,AwayScore,PointDiff,HomeLine,AwayLine,PredictTotal,ActualTotal
2019,5,SF,CLE,31,3,28,-3,3,47.5,34
2019,5,KC,IND,13,19,-6,-10,10,57,32
2019,5,DAL,GB,24,34,-10,-4,4,48,58
2019,5,SD,DEN,34,27,7,-6.5,6.5,44,61
2019,5,CAR,JAX,34,27,7,-3.5,3.5,41,61
2019,5,CIN,ARI,23,26,-3,-4,4,48,49
2019,5,HOU,ATL,53,32,21,-4.5,4.5,48.5,85
2019,5,NO,TB,31,24,7,-5.5,5.5,47,55
2019,5,NYG,MIN,10,28,-18,4.5,-4.5,45,38
2019,5,OAK,CHI,24,21,3,5.5,-5.5,41,45
2019,5,PHI,NYJ,31,6,25,-14,14,44.5,37
2019,5,PIT,BAL,23,26,-3,4,-4,42.5,49
2019,5,TEN,BUF,7,14,-7,-2.5,2.5,38.5,21
2019,5,WAS,NE,7,33,-26,14.5,-14.5,46,40
2019,5,SEA,LARM,30,29,1,1,-1,49,59
2019,4,PIT,CIN,27,3,24,-4.5,4.5,44,30
2019,4,NO,DAL,12,10,2,3,-3,46,22
2019,4,CHI,MIN,16,6,10,-3,3,38,22
2019,4,DEN,JAX,24,26,-2,-3,3,38,50
2019,4,ARI,SEA,10,27,-17,4,-4,47,37
2019,4,LARM,TB,40,55,-15,-10,10,48.5,95
2019,4,ATL,TEN,10,24,-14,-5,5,46,34
2019,4,BAL,CLE,25,40,-15,-5.5,5.5,46.5,65
2019,4,BUF,NE,10,16,-6,7.5,-7.5,43.5,26
2019,4,DET,KC,30,34,-4,6.5,-6.5,54,64
2019,4,HOU,CAR,10,16,-6,-4.5,4.5,46,26
2019,4,IND,OAK,24,31,-7,-6.5,6.5,44.5,55
2019,4,MIA,SD,10,30,-20,16.5,-16.5,45,40
2019,4,NYG,WAS,24,3,21,-3,3,46.5,27
2019,4,GB,PHI,27,34,-7,-4.5,4.5,47.5,61
2019,3,WAS,CHI,15,31,-16,4,-4,42,46
2019,3,CLE,LARM,13,20,-7,2.5,-2.5,51,33
2019,3,SD,HOU,20,27,-7,-3.5,3.5,48.5,47
2019,3,SEA,NO,27,33,-6,-5,5,45,60
2019,3,SF,PIT,24,20,4,-7,7,44,44
2019,3,TB,NYG,31,32,-1,-6.5,6.5,48.5,63
2019,3,ARI,CAR,20,38,-18,2.5,-2.5,45.5,58
2019,3,BUF,CIN,21,17,4,-5,5,42,38
2019,3,DAL,MIA,31,6,25,-20.5,20.5,47.5,37
2019,3,GB,DEN,27,16,11,-8,8,43.5,43
2019,3,IND,ATL,27,24,3,-2.5,2.5,47.5,51
2019,3,KC,BAL,33,28,5,-7,7,54.5,61
2019,3,MIN,OAK,34,14,20,-7.5,7.5,43.5,48
2019,3,NE,NYJ,30,14,16,-20.5,20.5,46,44
2019,3,PHI,DET,24,27,-3,-7.5,7.5,49,51
2019,3,JAX,TEN,20,7,13,2,-2,40,27
2019,2,NYJ,CLE,3,23,-20,2.5,-2.5,46,26
2019,2,ATL,PHI,24,20,4,1,-1,51,44
2019,2,DEN,CHI,14,16,-2,-1,1,40.5,30
2019,2,LARM,NO,27,9,18,-3,3,54,36
2019,2,OAK,KC,10,28,-18,8,-8,52,38
2019,2,BAL,ARI,23,17,6,-13,13,42.5,40
2019,2,CIN,SF,17,41,-24,2,-2,45,58
2019,2,DET,SD,13,10,3,3,-3,47,23
2019,2,GB,MIN,21,16,5,-3,3,45.5,37
2019,2,HOU,JAX,13,12,1,-8,8,44.5,25
2019,2,MIA,NE,0,43,-43,15,-15,47,43
2019,2,NYG,BUF,14,28,-14,2.5,-2.5,42.5,42
2019,2,PIT,SEA,26,28,-2,-3.5,3.5,46.5,54
2019,2,TEN,IND,17,19,-2,-3,3,44,36
2019,2,WAS,DAL,21,31,-10,4.5,-4.5,44,52
2019,2,CAR,TB,14,20,-6,-6.5,6.5,51,34
2019,1,OAK,DEN,24,16,8,-1,1,43,40
2019,1,NO,HOU,30,28,2,-7,7,53,58
2019,1,NE,PIT,33,3,30,-6,6,51,36
2019,1,ARI,DET,27,27,0,2.5,-2.5,47.5,54
2019,1,DAL,NYG,35,17,18,-7,7,45.5,52
2019,1,TB,SF,17,31,-14,-1,1,49.5,48
2019,1,SD,IND,30,24,6,-7,7,44,54
2019,1,SEA,CIN,21,20,1,-9.5,9.5,43.5,41
2019,1,CAR,LARM,27,30,-3,2.5,-2.5,50.5,57
2019,1,CLE,TEN,13,43,-30,-5.5,5.5,45.5,56
2019,1,JAX,KC,26,40,-14,4,-4,52,66
2019,1,MIA,BAL,10,59,-49,5,-5,37.5,69
2019,1,MIN,ATL,28,12,16,-4,4,47.5,40
2019,1,NYJ,BUF,16,17,-1,-3,3,39.5,33
2019,1,PHI,WAS,32,27,5,-8.5,8.5,45.5,59
2019,1,CHI,GB,3,10,-7,-3,3,46,13
2018,21,LARM,NE,3,13,-10,1,-1,58.5,16
2018,20,KC,NE,31,37,-6,-3,3,57,68
2018,20,NO,LARM,23,26,-3,-3,3,57,49
2018,19,NO,PHI,20,14,6,-8,8,51,34
2018,19,NE,SD,41,28,13,-5,5,47.5,69
2018,19,LARM,DAL,30,22,8,-7,7,49,52
2018,19,KC,IND,31,13,18,-5.5,5.5,56.5,44
2018,18,CHI,PHI,15,16,-1,-7,7,42,31
2018,18,BAL,SD,17,23,-6,-3,3,41.5,40
2018,18,DAL,SEA,24,22,2,-2.5,2.5,41.5,46
2018,18,HOU,IND,7,21,-14,-2.5,2.5,47.5,28
2018,17,TEN,IND,17,33,-16,3,-3,44,50
2018,17,BAL,CLE,26,24,2,-4.5,4.5,41,50
2018,17,DEN,SD,9,23,-14,6.5,-6.5,41.5,32
2018,17,LARM,SF,48,32,16,-9,9,50.5,80
2018,17,MIN,CHI,10,24,-14,-6,6,41,34
2018,17,PIT,CIN,16,13,3,-14,14,48,29
2018,17,SEA,ARI,27,24,3,-13.5,13.5,40,51
2018,17,WAS,PHI,0,24,-24,6.5,-6.5,41.5,24
2018,17,BUF,MIA,42,17,25,-3.5,3.5,38.5,59
2018,17,GB,DET,0,31,-31,-7,7,44,31
2018,17,HOU,JAX,20,3,17,-8.5,8.5,40.5,23
2018,17,KC,OAK,35,3,32,-13.5,13.5,54,38
2018,17,NE,NYJ,38,3,35,-12.5,12.5,47.5,41
2018,17,NO,CAR,14,33,-19,-7.5,7.5,45,47
2018,17,NYG,DAL,35,36,-1,-7,7,42.5,71
2018,17,TB,ATL,32,34,-2,-1,1,49.5,66
2018,16,OAK,DEN,27,14,13,2.5,-2.5,45,41
2018,16,SEA,KC,38,31,7,2.5,-2.5,54,69
2018,16,NO,PIT,31,28,3,-5.5,5.5,53.5,59
2018,16,ARI,LARM,9,31,-22,13.5,-13.5,47.5,40
2018,16,SF,CHI,9,14,-5,3.5,-3.5,43,23
2018,16,CAR,ATL,10,24,-14,-3,3,47,34
2018,16,CLE,CIN,26,18,8,-6.5,6.5,46,44
2018,16,DAL,TB,27,20,7,-7,7,46,47
2018,16,DET,MIN,9,27,-18,4.5,-4.5,43.5,36
2018,16,IND,NYG,28,27,1,-9,9,47,55
2018,16,MIA,JAX,7,17,-10,-5,5,40,24
2018,16,NE,BUF,24,12,12,-12.5,12.5,45.5,36
2018,16,NYJ,GB,38,44,-6,2.5,-2.5,45,82
2018,16,PHI,HOU,32,30,2,1,-1,45,62
2018,16,SD,BAL,10,22,-12,-4.5,4.5,45,32
2018,16,TEN,WAS,25,16,9,-10,10,37,41
2018,15,CAR,NO,9,12,-3,6.5,-6.5,54,21
2018,15,LARM,PHI,23,30,-7,-9.5,9.5,53.5,53
2018,15,PIT,NE,17,10,7,1,-1,52,27
2018,15,SF,SEA,26,23,3,6.5,-6.5,44.5,49
2018,15,ATL,ARI,40,14,26,-9,9,44,54
2018,15,BAL,TB,20,12,8,-8,8,47,32
2018,15,BUF,DET,14,13,1,-1.5,1.5,38,27
2018,15,CHI,GB,24,17,7,-6.5,6.5,46.5,41
2018,15,CIN,OAK,30,16,14,-3,3,46.5,46
2018,15,IND,DAL,23,0,23,-2.5,2.5,47,23
2018,15,JAX,WAS,13,16,-3,-6.5,6.5,36,29
2018,15,MIN,MIA,41,17,24,-7,7,43,58
2018,15,NYG,TEN,0,17,-17,-2.5,2.5,43.5,17
2018,15,DEN,CLE,16,17,-1,-3.5,3.5,44.5,33
2018,15,NYJ,HOU,22,29,-7,6,-6,42.5,51
2018,15,KC,SD,28,29,-1,-3.5,3.5,56.5,57
2018,14,SEA,MIN,21,7,14,-3,3,45,28
2018,14,CHI,LARM,15,6,9,3,-3,54,21
2018,14,ARI,DET,3,17,-14,2.5,-2.5,41.5,20
2018,14,DAL,PHI,29,23,6,-4,4,43.5,52
2018,14,OAK,PIT,24,21,3,11.5,-11.5,52,45
2018,14,SD,CIN,26,21,5,-14.5,14.5,47,47
2018,14,SF,DEN,20,14,6,5.5,-5.5,44,34
2018,14,BUF,NYJ,23,27,-4,-3.5,3.5,38,50
2018,14,CLE,CAR,26,20,6,1,-1,46.5,46
2018,14,GB,ATL,34,20,14,-5.5,5.5,47.5,54
2018,14,HOU,IND,21,24,-3,-4,4,49.5,45
2018,14,KC,BAL,27,24,3,-7,7,53.5,51
2018,14,MIA,NE,34,33,1,7.5,-7.5,48,67
2018,14,TB,NO,14,28,-14,8,-8,57.5,42
2018,14,WAS,NYG,16,40,-24,4,-4,41,56
2018,14,TEN,JAX,30,9,21,-4.5,4.5,38,39
2018,13,PHI,WAS,28,13,15,-7,7,44,41
2018,13,PIT,SD,30,33,-3,-3.5,3.5,52.5,63
2018,13,NE,MIN,24,10,14,-5.5,5.5,48,34
2018,13,SEA,SF,43,16,27,-10,10,46,59
2018,13,OAK,KC,33,40,-7,15,-15,56,73
2018,13,TEN,NYJ,26,22,4,-9,9,40.5,48
2018,13,ATL,BAL,16,26,-10,1.5,-1.5,49,42
2018,13,CIN,DEN,10,24,-14,3.5,-3.5,42.5,34
2018,13,DET,LARM,16,30,-14,9.5,-9.5,54.5,46
2018,13,GB,ARI,17,20,-3,-14,14,46,37
2018,13,HOU,CLE,29,13,16,-6.5,6.5,48,42
2018,13,JAX,IND,6,0,6,3.5,-3.5,48,6
2018,13,MIA,BUF,21,17,4,-6,6,40.5,38
2018,13,NYG,CHI,30,27,3,4,-4,44.5,57
2018,13,TB,CAR,24,17,7,4,-4,56,41
2018,13,DAL,NO,13,10,3,7.5,-7.5,53,23
2018,12,HOU,TEN,34,17,17,-6,6,41,51
2018,12,MIN,GB,24,17,7,-4,4,48,41
2018,12,DEN,PIT,24,17,7,3.5,-3.5,47.5,41
2018,12,IND,MIA,27,24,3,-10,10,51,51
2018,12,SD,ARI,45,10,35,-11,11,44.5,55
2018,12,BAL,OAK,34,17,17,-11.5,11.5,42.5,51
2018,12,BUF,JAX,24,21,3,3.5,-3.5,38,45
2018,12,CAR,SEA,27,30,-3,-3.5,3.5,47,57
2018,12,CIN,CLE,20,35,-15,-3,3,47.5,55
2018,12,NYJ,NE,13,27,-14,9.5,-9.5,46.5,40
2018,12,PHI,NYG,25,22,3,-4.5,4.5,46,47
2018,12,TB,SF,27,9,18,-3.5,3.5,55,36
2018,12,NO,ATL,31,17,14,-12.5,12.5,59,48
2018,12,DAL,WAS,31,23,8,-8,8,41,54
2018,12,DET,CHI,16,23,-7,4,-4,45,39
2018,11,LARM,KC,54,51,3,-2.5,2.5,63.5,105
2018,11,CHI,MIN,25,20,5,-3,3,45.5,45
2018,11,NO,PHI,48,7,41,-9,9,54.5,55
2018,11,ARI,OAK,21,23,-2,-4,4,41,44
2018,11,SD,DEN,22,23,-1,-7,7,47,45
2018,11,ATL,DAL,19,22,-3,-3,3,47.5,41
2018,11,BAL,CIN,24,21,3,-4,4,43.5,45
2018,11,DET,CAR,20,19,1,3.5,-3.5,52,39
2018,11,IND,TEN,38,10,28,-3,3,48,48
2018,11,JAX,PIT,16,20,-4,5,-5,47.5,36
2018,11,NYG,TB,38,35,3,-1,1,52.5,73
2018,11,WAS,HOU,21,23,-2,2.5,-2.5,43,44
2018,11,SEA,GB,27,24,3,-3,3,49.5,51
2018,10,SF,NYG,23,27,-4,-3,3,43.5,50
2018,10,PHI,DAL,20,27,-7,-6.5,6.5,43.5,47
2018,10,GB,MIA,31,12,19,-9,9,47.5,43
2018,10,LARM,SEA,36,31,5,-10,10,51.5,67
2018,10,OAK,SD,6,20,-14,10,-10,50.5,26
2018,10,CHI,DET,34,22,12,-6.5,6.5,45,56
2018,10,CIN,NO,14,51,-37,4,-4,55,65
2018,10,CLE,ATL,28,16,12,4,-4,51,44
2018,10,IND,JAX,29,26,3,-3.5,3.5,47.5,55
2018,10,KC,ARI,26,14,12,-16.5,16.5,50,40
2018,10,NYJ,BUF,10,41,-31,-8,8,37,51
2018,10,TB,WAS,3,16,-13,-1,1,51.5,19
2018,10,TEN,NE,34,10,24,7,-7,46.5,44
2018,10,PIT,CAR,52,21,31,-5,5,50,73
2018,9,DAL,TEN,14,28,-14,-4.5,4.5,42,42
2018,9,NE,GB,31,17,14,-6.5,6.5,56.5,48
2018,9,NO,LARM,45,35,10,-1,1,59,80
2018,9,DEN,HOU,17,19,-2,-2.5,2.5,46.5,36
2018,9,SEA,SD,17,25,-8,-2,2,48,42
2018,9,BAL,PIT,16,23,-7,-3,3,47.5,39
2018,9,BUF,CHI,9,41,-32,8.5,-8.5,37.5,50
2018,9,CAR,TB,42,28,14,-6.5,6.5,54,70
2018,9,CLE,KC,21,37,-16,8,-8,52,58
2018,9,MIA,NYJ,13,6,7,-3,3,45.5,19
2018,9,MIN,DET,24,9,15,-5,5,51,33
2018,9,WAS,ATL,14,38,-24,-2,2,47.5,52
2018,9,SF,OAK,34,3,31,-3,3,47.5,37
2018,8,BUF,NE,6,25,-19,13,-13,44.5,31
2018,8,MIN,NO,20,30,-10,-1.5,1.5,52,50
2018,8,ARI,SF,18,15,3,-1,1,43.5,33
2018,8,LARM,GB,29,27,2,-9,9,56.5,56
2018,8,OAK,IND,28,42,-14,1.5,-1.5,51,70
2018,8,CAR,BAL,36,21,15,1.5,-1.5,43.5,57
2018,8,CHI,NYJ,24,10,14,-7,7,46,34
2018,8,CIN,TB,37,34,3,-6,6,53.5,71
2018,8,DET,SEA,14,28,-14,-3,3,49,42
2018,8,KC,DEN,30,23,7,-10,10,55.5,53
2018,8,NYG,WAS,13,20,-7,1,-1,42,33
2018,8,PIT,CLE,33,18,15,-7,7,50.5,51
2018,8,JAX,PHI,18,24,-6,3,-3,41,42
2018,8,HOU,MIA,42,23,19,-6.5,6.5,45.5,65
2018,7,ATL,NYG,23,20,3,-5.5,5.5,54,43
2018,7,SF,LARM,10,39,-29,10,-10,52.5,49
2018,7,WAS,DAL,20,17,3,-2,2,42,37
2018,7,BAL,NO,23,24,-1,-2.5,2.5,50,47
2018,7,CHI,NE,31,38,-7,2.5,-2.5,50,69
2018,7,IND,BUF,37,5,32,-7.5,7.5,43.5,42
2018,7,JAX,HOU,7,20,-13,-4,4,43,27
2018,7,KC,CIN,45,10,35,-5.5,5.5,58.5,55
2018,7,MIA,DET,21,32,-11,3,-3,46.5,53
2018,7,NYJ,MIN,17,37,-20,3,-3,47,54
2018,7,PHI,CAR,17,21,-4,-3.5,3.5,45,38
2018,7,TB,CLE,26,23,3,-3,3,49,49
2018,7,SD,TEN,20,19,1,-6,6,45,39
2018,7,ARI,DEN,10,45,-35,1.5,-1.5,40,55
2018,6,GB,SF,33,30,3,-9.5,9.5,46.5,63
2018,6,NE,KC,43,40,3,-3,3,58.5,83
2018,6,DAL,JAX,40,7,33,3,-3,41,47
2018,6,TEN,BAL,0,21,-21,1.5,-1.5,42,21
2018,6,DEN,LARM,20,23,-3,7,-7,52.5,43
2018,6,OAK,SEA,3,27,-24,3,-3,47,30
2018,6,ATL,TB,34,29,5,-3.5,3.5,57.5,63
2018,6,CIN,PIT,21,28,-7,-2.5,2.5,54.5,49
2018,6,CLE,SD,14,38,-24,1.5,-1.5,46,52
2018,6,HOU,BUF,20,13,7,-9.5,9.5,41,33
2018,6,MIA,CHI,31,28,3,3,-3,44,59
2018,6,MIN,ARI,27,17,10,-10.5,10.5,43,44
2018,6,NYJ,IND,42,34,8,-3,3,45.5,76
2018,6,WAS,CAR,23,17,6,-1,1,45,40
2018,6,NYG,PHI,13,34,-21,2.5,-2.5,45,47
2018,5,NO,WAS,43,19,24,-6.5,6.5,51.5,62
2018,5,HOU,DAL,19,16,3,-3,3,45,35
2018,5,PHI,MIN,21,23,-2,-3,3,44.5,44
2018,5,SEA,LARM,31,33,-2,7,-7,49,64
2018,5,SF,ARI,18,28,-10,-5.5,5.5,41,46
2018,5,SD,OAK,26,10,16,-6.5,6.5,51.5,36
2018,5,BUF,TEN,13,12,1,3,-3,39.5,25
2018,5,CAR,NYG,33,31,2,-6,6,44,64
2018,5,CIN,MIA,27,17,10,-5.5,5.5,50,44
2018,5,CLE,BAL,12,9,3,3,-3,47,21
2018,5,DET,GB,31,23,8,1,-1,51,54
2018,5,KC,JAX,30,14,16,-3,3,48.5,44
2018,5,NYJ,DEN,34,16,18,-2.5,2.5,43,50
2018,5,PIT,ATL,41,17,24,-3,3,56.5,58
2018,5,NE,IND,38,24,14,-10,10,53,62
2018,4,DEN,KC,23,27,-4,4,-4,55,50
2018,4,PIT,BAL,14,26,-12,-3.5,3.5,51,40
2018,4,SD,SF,29,27,2,-9.5,9.5,47,56
2018,4,NYG,NO,18,33,-15,3.5,-3.5,50,51
2018,4,ARI,SEA,17,20,-3,3,-3,37.5,37
2018,4,OAK,CLE,45,42,3,-2.5,2.5,44.5,87
2018,4,ATL,CIN,36,37,-1,-5.5,5.5,48,73
2018,4,CHI,TB,48,10,38,-3,3,46.5,58
2018,4,DAL,DET,26,24,2,-3,3,44,50
2018,4,GB,BUF,22,0,22,-10.5,10.5,44.5,22
2018,4,IND,HOU,34,37,-3,-2.5,2.5,47,71
2018,4,JAX,NYJ,31,12,19,-8.5,8.5,38,43
2018,4,NE,MIA,38,7,31,-7,7,48,45
2018,4,TEN,PHI,26,23,3,3,-3,42,49
2018,4,LARM,MIN,38,31,7,-7,7,48,69
2018,3,TB,PIT,27,30,-3,2.5,-2.5,52,57
2018,3,DET,NE,26,10,16,6.5,-6.5,50,36
2018,3,ARI,CHI,14,16,-2,6,-6,37.5,30
2018,3,SEA,DAL,24,13,11,-1,1,41.5,37
2018,3,LARM,SD,35,23,12,-6.5,6.5,48,58
2018,3,ATL,NO,37,43,-6,-3,3,53,80
2018,3,BAL,DEN,27,14,13,-4.5,4.5,43.5,41
2018,3,CAR,CIN,31,21,10,-3,3,43.5,52
2018,3,HOU,NYG,22,27,-5,-6,6,41.5,49
2018,3,JAX,TEN,6,9,-3,-10,10,40,15
2018,3,KC,SF,38,27,11,-6,6,55,65
2018,3,MIA,OAK,28,20,8,-3,3,43.5,48
2018,3,MIN,BUF,6,27,-21,-16.5,16.5,40.5,33
2018,3,PHI,IND,20,16,4,-6.5,6.5,47.5,36
2018,3,WAS,GB,31,17,14,3,-3,47.5,48
2018,3,CLE,NYJ,21,17,4,-3,3,39.5,38
2018,2,CHI,SEA,24,17,7,-3.5,3.5,43.5,41
2018,2,DAL,NYG,20,13,7,-3,3,44,33
2018,2,DEN,OAK,20,19,1,-6,6,45,39
2018,2,JAX,NE,31,20,11,2.5,-2.5,45,51
2018,2,LARM,ARI,34,0,34,-13,13,46.5,34
2018,2,SF,DET,30,27,3,-5.5,5.5,47.5,57
2018,2,ATL,CAR,31,24,7,-4.5,4.5,44,55
2018,2,BUF,SD,20,31,-11,7.5,-7.5,44,51
2018,2,GB,MIN,29,29,0,-1.5,1.5,46.5,58
2018,2,NO,CLE,21,18,3,-8,8,49.5,39
2018,2,NYJ,MIA,12,20,-8,-3,3,44,32
2018,2,PIT,KC,37,42,-5,-4.5,4.5,49.5,79
2018,2,TB,PHI,27,21,6,3,-3,44,48
2018,2,TEN,HOU,20,17,3,2,-2,45,37
2018,2,WAS,IND,9,21,-12,-5.5,5.5,47.5,30
2018,2,CIN,BAL,34,23,11,1,-1,44,57
2018,1,OAK,LARM,13,33,-20,3,-3,49.5,46
2018,1,DET,NYJ,17,48,-31,-6.5,6.5,44,65
2018,1,GB,CHI,24,23,1,-8,8,47.5,47
2018,1,ARI,WAS,6,24,-18,-1,1,44,30
2018,1,CAR,DAL,16,8,8,-2.5,2.5,44,24
2018,1,DEN,SEA,27,24,3,-2.5,2.5,42,51
2018,1,SD,KC,28,38,-10,-3,3,47,66
2018,1,BAL,BUF,47,3,44,-6,6,41,50
2018,1,CLE,PIT,21,21,0,5.5,-5.5,46.5,42
2018,1,IND,CIN,23,34,-11,-3,3,46,57
2018,1,MIA,TEN,27,20,7,1.5,-1.5,45,47
2018,1,MIN,SF,24,16,8,-5.5,5.5,46,40
2018,1,NE,HOU,27,20,7,-6.5,6.5,51,47
2018,1,NO,TB,40,48,-8,-9.5,9.5,49.5,88
2018,1,NYG,JAX,15,20,-5,3,-3,43.5,35
2018,1,PHI,ATL,18,12,6,-4,4,46,30
2017,21,NE,PHI,33,41,-8,-6,6,47.5,74
2017,20,PHI,MIN,38,7,31,3.5,-3.5,37.5,45
2017,20,NE,JAX,24,20,4,-9.5,9.5,47,44
2017,19,MIN,NO,29,24,5,-3.5,3.5,44.5,53
2017,19,PIT,JAX,42,45,-3,-7.5,7.5,41,87
2017,19,NE,TEN,35,14,21,-13.5,13.5,47,49
2017,19,PHI,ATL,15,10,5,2.5,-2.5,43.5,25
2017,18,NO,CAR,31,26,5,-6,6,48.5,57
2017,18,JAX,BUF,10,3,7,-7.5,7.5,40,13
2017,18,LARM,ATL,13,26,-13,-6,6,50.5,39
2017,18,KC,TEN,21,22,-1,-7.5,7.5,45.5,43
2017,17,DEN,KC,24,27,-3,-3.5,3.5,39,51
2017,17,SD,OAK,30,10,20,-9,9,43.5,40
2017,17,LARM,SF,13,34,-21,-6.5,6.5,44,47
2017,17,SEA,ARI,24,26,-2,-7.5,7.5,40.5,50
2017,17,ATL,CAR,22,10,12,-3.5,3.5,47,32
2017,17,BAL,CIN,27,31,-4,-10,10,40.5,58
2017,17,DET,GB,35,11,24,-7.5,7.5,42.5,46
2017,17,IND,HOU,22,13,9,0,0,43,35
2017,17,MIA,BUF,16,22,-6,3,-3,42.5,38
2017,17,MIN,CHI,23,10,13,-12.5,12.5,39.5,33
2017,17,NE,NYJ,26,6,20,-16.5,16.5,46,32
2017,17,NYG,WAS,18,10,8,3.5,-3.5,38.5,28
2017,17,PHI,DAL,0,6,-6,0,0,43,6
2017,17,PIT,CLE,28,24,4,-16,16,41,52
2017,17,TB,NO,31,24,7,7.5,-7.5,50.5,55
2017,17,TEN,JAX,15,10,5,-6,6,41,25
2017,16,PHI,OAK,19,10,9,-9,9,48.5,29
2017,16,HOU,PIT,6,34,-28,10,-10,44,40
2017,16,ARI,NYG,23,0,23,-4.5,4.5,40,23
2017,16,DAL,SEA,12,21,-9,-4.5,4.5,47,33
2017,16,SF,JAX,44,33,11,4.5,-4.5,42.5,77
2017,16,CAR,TB,22,19,3,-10,10,46.5,41
2017,16,CHI,CLE,20,3,17,-7,7,38,23
2017,16,CIN,DET,26,17,9,4,-4,43,43
