,Predicted,Actual,Error
612,2.5877778931813316,7,-4.412222106818668
628,19.252848356492237,33,-13.747151643507763
41,13.843326300527014,6,7.843326300527014
687,-2.128641140789276,3,-5.128641140789275
615,-11.229272065774673,-7,-4.229272065774673
211,-8.988571339459899,-7,-1.9885713394598987
912,2.6421178810761328,3,-0.35788211892386723
10,-1.4456624591560674,3,-4.445662459156067
819,7.161970431708704,3,4.161970431708704
1000,1.8678313705183047,9,-7.132168629481695
61,2.5639265982902515,2,0.5639265982902515
557,5.769402871066675,3,2.769402871066675
952,12.331038480347189,7,5.331038480347189
442,9.573167468792107,-6,15.573167468792107
181,-1.6714613042890794,-11,9.32853869571092
632,3.069589007256541,3,0.06958900725654082
598,4.594088867734673,-2,6.594088867734673
398,13.089033945708316,11,2.089033945708316
818,0.9014864331242833,3,-2.0985135668757167
573,-2.576271858355437,-17,14.423728141644563
693,-7.884147240105288,-13,5.115852759894712
715,21.07011740897281,20,1.0701174089728092
345,-6.545136642822104,-14,7.454863357177896
238,-7.489752757248481,-7,-0.489752757248481
268,19.34325015349206,21,-1.6567498465079389
785,28.6688914115445,41,-12.3311085884555
613,-4.373948301224583,-3,-1.3739483012245826
203,-2.3738447607101927,-21,18.626155239289808
780,12.059083033049859,-8,20.05908303304986
858,-28.904309796211628,-31,2.0956902037883722
939,12.250616526206421,14,-1.7493834737935785
618,-15.799067600040566,-14,-1.7990676000405657
416,11.881692773219765,10,1.8816927732197648
953,-40.154512603848815,-28,-12.154512603848815
861,6.861709837815295,6,0.8617098378152948
582,-13.726572494680251,-20,6.273427505319749
489,-15.2403199367307,-5,-10.2403199367307
649,-4.639659692579525,-15,10.360340307420476
319,9.659695556141656,14,-4.340304443858344
634,6.348009510733731,6,0.3480095107337311
107,-6.815236939402561,3,-9.81523693940256
907,-9.727830478904444,-10,0.2721695210955559
999,-1.0054505719762714,-7,5.994549428023729
461,-23.2677857045818,-28,4.732214295418199
781,-6.095396680615186,-5,-1.0953966806151856
578,-12.828145344827703,-16,3.1718546551722966
119,-0.13941970502689927,5,-5.139419705026899
914,20.83199316107006,18,2.8319931610700593
196,11.517729894198677,13,-1.482270105801323
365,10.965842070745715,15,-4.034157929254285
446,-14.168061257871294,-16,1.831938742128706
802,-27.255055632555198,-21,-6.255055632555198
64,11.6461586588633,4,7.6461586588633
444,-3.2748260255564823,-10,6.725173974443518
12,21.230953536242932,30,-8.769046463757068
450,3.953849568810867,-14,17.953849568810867
795,0.6325848910594201,3,-2.36741510894058
304,1.26379634804597,3,-1.73620365195403
364,-1.452878043703008,3,-4.4528780437030075
935,12.277459437768307,5,7.277459437768307
102,-14.034176879654975,-24,9.965823120345025
841,-9.592732450729017,-22,12.407267549270983
135,31.25997197709978,44,-12.74002802290022
86,-5.940213969076094,-5,-0.940213969076094
812,-37.08482073922199,-28,-9.084820739221989
14,6.947007666000112,15,-8.052992333999889
975,-3.0800224559831486,1,-4.080022455983149
108,-4.700193555241048,-20,15.299806444758952
599,-15.317668479139147,-20,4.682331520860853
38,8.200802599381536,-2,10.200802599381536
207,1.6500000409935174,-1,2.6500000409935174
253,-11.482387610519776,-4,-7.482387610519776
787,-1.3803795363533633,-7,5.619620463646637
761,0.5002998674868064,11,-10.499700132513194
601,-11.02247432956803,-16,4.9775256704319695
269,23.33852752355347,26,-2.66147247644653
493,-1.4340522865771943,3,-4.434052286577194
397,-10.775081052649448,-6,-4.775081052649448
194,6.498378623668452,4,2.4983786236684518
434,-1.068396139125709,3,-4.068396139125709
945,16.65206635730924,3,13.652066357309241
284,21.737491858895567,28,-6.262508141104433
729,5.3148722764840715,5,0.31487227648407146
221,-4.233196163364135,-3,-1.233196163364135
776,-2.5593930955155892,-2,-0.5593930955155892
570,11.238526565787758,13,-1.7614734342122418
757,-8.494511086200045,-7,-1.4945110862000455
296,13.101289195383977,3,10.101289195383977
400,3.6260373728190753,7,-3.3739626271809247
382,-10.032758523426988,6,-16.03275852342699
172,-7.6786723383903075,-5,-2.6786723383903075
5,0.33226867336118726,-3,3.3322686733611873
948,6.692355447578945,8,-1.3076445524210554
338,2.392689601147983,-2,4.392689601147983
821,9.611930212184998,4,5.611930212184998
608,-16.267081989290567,-7,-9.267081989290567
983,12.710203342590816,11,1.710203342590816
281,4.9106451210326645,6,-1.0893548789673355
833,4.569787787643228,8,-3.430212212356772
87,-0.849201475395458,3,-3.849201475395458
185,6.160515508025703,7,-0.8394844919742974
540,11.191560373720232,14,-2.8084396262797675
783,0.07164800982618491,3,-2.928351990173815
359,5.694282342014136,4,1.6942823420141364
287,15.915232902889802,21,-5.084767097110198
921,-6.722731431783937,1,-7.722731431783937
856,-13.153709328683362,-17,3.8462906713166376
257,19.08936046410648,14,5.0893604641064805
1014,0.9527335302084534,5,-4.047266469791547
437,-33.356511308675884,-31,-2.356511308675884
637,9.166253261323572,5,4.166253261323572
6,16.447718335127668,21,-4.552281664872332
642,-11.536825229214678,-20,8.463174770785322
947,7.691455317781256,3,4.691455317781256
142,-24.01084987192811,-20,-4.010849871928109
394,6.304208695501889,13,-6.695791304498111
224,-8.159083016527017,1,-9.159083016527017
357,3.0252222678314613,3,0.02522226783146131
204,-19.52854173070961,-31,11.471458269290391
2,-4.710063582971397,-10,5.289936417028603
169,28.24990722963696,32,-3.7500927703630396
670,-14.932937491833957,-14,-0.9329374918339575
327,11.015457552903456,8,3.015457552903456
298,-5.021025289933808,-14,8.978974710066192
242,-7.356351070774967,-14,6.643648929225033
823,9.471608023801661,17,-7.528391976198339
564,-2.4393672678194314,-9,6.560632732180569
98,-3.687537466870257,-4,0.31246253312974304
415,2.0265748873311296,8,-5.97342511266887
199,5.013273420635547,-3,8.013273420635546
653,11.942842926898688,3,8.942842926898688
366,32.41454729441052,18,14.414547294410518
438,-3.4475997767407134,-3,-0.4475997767407134
113,1.8967358481115353,6,-4.103264151888465
381,-1.2176890274994432,-5,3.782310972500557
39,0.7061411852535966,-2,2.7061411852535966
695,14.544468371826245,14,0.5444683718262446
197,18.99873719573764,30,-11.00126280426236
501,-4.950311910681882,3,-7.950311910681882
867,23.57020617528369,28,-4.42979382471631
549,-5.9124625063038625,10,-15.912462506303862
842,12.31234142087077,17,-4.687658579129231
949,1.5318445793985171,7,-5.468155420601483
522,-2.0501112504577677,-7,4.949888749542232
805,-13.331085146699753,-3,-10.331085146699753
232,7.6630435798350165,17,-9.336956420164984
104,12.565210887045609,12,0.565210887045609
191,9.275354807018818,6,3.275354807018818
75,-7.278767483032097,-15,7.721232516967903
700,-4.020736080158574,-6,1.9792639198414257
878,4.989240275037465,-3,7.989240275037465
255,-1.6800456344821435,-12,10.319954365517857
339,-10.24622380314235,-16,5.75377619685765
857,-2.390775645794669,-1,-1.390775645794669
404,-9.36841728526456,-10,0.6315827147354405
295,2.495696079957466,3,-0.5043039200425339
710,0.9949850471856969,-3,3.994985047185697
813,-9.707797208804639,0,-9.707797208804639
884,-7.372655737444446,-2,-5.372655737444446
624,13.544658984166926,12,1.5446589841669258
180,3.5387482418524723,3,0.5387482418524723
714,9.490760464222461,12,-2.5092395357775388
176,-0.5235590345847112,3,-3.523559034584711
436,-12.673170352774694,-14,1.3268296472253063
737,9.89711895005302,8,1.8971189500530201
498,15.886294853634809,28,-12.113705146365191
674,11.892601048845236,16,-4.107398951154764
593,0.32400025468507243,-1,1.3240002546850724
895,18.352820118302713,29,-10.647179881697287
587,11.893213319588131,5,6.893213319588131
708,9.214685398023637,9,0.2146853980236365
851,0.20285611497202938,-14,14.202856114972029
553,24.489970159561928,24,0.4899701595619277
883,8.370557452810065,3,5.370557452810065
292,15.933603722624678,13,2.933603722624678
303,7.047292669440494,14,-6.952707330559506
906,-2.9283441769784764,-1,-1.9283441769784764
817,12.554163354631779,7,5.554163354631779
63,6.275126657241693,1,5.275126657241693
892,7.1531431956222535,15,-7.8468568043777465
771,13.668968037518539,11,2.668968037518539
59,-6.1697339740538695,-3,-3.1697339740538695
979,9.081493007828218,17,-7.918506992171782
594,-4.1539137933064865,6,-10.153913793306486
565,-11.359215177247965,-12,0.6407848227520354
458,-6.925615846057274,3,-9.925615846057273
1004,21.853015948171773,24,-2.146984051828227
68,-5.983769100042767,-13,7.016230899957233
680,9.224256962358847,7,2.2242569623588473
323,-5.396712137071618,4,-9.396712137071617
251,-3.619063644391133,6,-9.619063644391133
109,0.082435482749323,-2,2.082435482749323
661,5.944857404740499,3,2.9448574047404987
9,5.20597209725561,-7,12.20597209725561
121,-5.364703091783003,-6,0.635296908216997
610,-13.07812822909219,-25,11.92187177090781
969,-1.9448429861377878,-3,1.0551570138622122
360,6.648015608756549,3,3.648015608756549
160,16.52868251282284,15,1.52868251282284
940,0.8639313544540421,6,-5.136068645545958
775,12.180600222140999,7,5.180600222140999
797,-12.479133036244644,-22,9.520866963755356
960,3.2814900830288396,-1,4.28149008302884
514,-1.6192534102124203,-2,0.3807465897875797
439,3.929549598757996,3,0.9295495987579958
297,-9.418456275157721,-5,-4.418456275157721
136,5.397248764545425,13,-7.602751235454575
50,-4.009739057172517,0,-4.009739057172517
677,-1.9755024527953782,-13,11.024497547204621
770,-2.581621241481609,5,-7.581621241481609
668,5.350260868410818,7,-1.6497391315891816
137,7.081450419188591,7,0.08145041918859075
720,6.041199473326555,4,2.0411994733265546
201,-6.384329466016192,-6,-0.384329466016192
997,-15.464148732666398,-5,-10.464148732666398
195,-1.4289627473047701,-3,1.5710372526952299
806,-10.777560309030118,6,-16.777560309030118
755,24.54924011560712,32,-7.45075988439288
178,1.3750568873277231,7,-5.624943112672277
877,4.005959934999819,7,-2.9940400650001813
794,-6.103387958911509,-13,6.896612041088491
994,-1.8009316480841622,0,-1.8009316480841622
803,2.0558882830523473,-7,9.055888283052347
110,6.149435330471962,6,0.14943533047196222
748,-9.910439908679553,1,-10.910439908679553
734,-11.541818628407547,-7,-4.5418186284075475
679,12.294871678296111,10,2.2948716782961114
46,30.5260795635211,35,-4.473920436478899
830,4.625560954896328,4,0.6255609548963283
973,1.6524852747244614,2,-0.3475147252755386
245,-1.33691066526875,-8,6.66308933473125
876,11.102106324642282,3,8.102106324642282
80,14.3445226224839,12,2.3445226224839004
865,-2.5400555341639834,-7,4.459944465836017
310,31.087736719059592,37,-5.912263280940408
126,-3.097127436259884,-5,1.9028725637401158
421,8.505383553824878,21,-12.494616446175122
27,-14.85681192703725,-18,3.143188072962751
447,5.373532536962331,7,-1.6264674630376694
843,-10.47832798270261,-7,-3.4783279827026092
216,-20.15383410593388,-8,-12.153834105933878
467,4.63119369238433,-2,6.63119369238433
322,23.928795444622384,15,8.928795444622384
989,-12.064647449962912,-14,1.9353525500370878
650,-1.471740513558783,-1,-0.4717405135587831
278,16.689511941127087,16,0.6895119411270869
809,-0.7686215070329245,-5,4.2313784929670755
468,3.495348405811426,6,-2.504651594188574
393,-3.4194007703541107,-7,3.5805992296458893
738,-0.7296782339456636,-3,2.2703217660543364
417,11.502507672999673,-2,13.502507672999673
477,-7.4096858041188245,-3,-4.4096858041188245
163,11.725009384987729,7,4.725009384987729
569,6.57675509192297,3,3.57675509192297
